2.4622,-1.4492,149.37,-237.23,62.1
2.4632,-1.4493,146.82,-235.49,62.1
2.4633,-1.4495,147.31,-236.44,62.1
2.4625,-1.4489,147.09,-234.06,62.1
2.4625,-1.4491,148.6,-236.37,62.1
2.4642,-1.4493,143.92,-232.17,62.1
2.4644,-1.4502,146.19,-238.9,62.1
2.4644,-1.4501,146.41,-235.77,62.1
2.4654,-1.4503,143.62,-231.77,62.2
2.4661,-1.451,145.43,-235.9,62.2
2.4675,-1.4517,144.52,-235.14,62.1
2.4672,-1.4521,147.11,-239.43,62.1
2.4668,-1.452,149.17,-238.41,62.1
2.4688,-1.4532,148.46,-240.46,62.1
2.4709,-1.4538,148.31,-238.08,62.1
2.4719,-1.4548,150.47,-240.81,62.1
2.4723,-1.4549,148.49,-239.24,62.1
2.4731,-1.4553,147.71,-235.9,62.1
2.4733,-1.4556,148.13,-236.37,61.9
2.474,-1.4559,147.33,-237.51,61.9
2.4743,-1.4562,147.82,-239.72,61.9
2.4742,-1.4558,146.37,-236.64,61.9
2.4746,-1.456,145.37,-238.31,61.9
2.4755,-1.4568,146.59,-239.22,61.9
2.4764,-1.4569,144.57,-237.53,61.9
2.4767,-1.457,143.29,-239.37,61.9
2.4773,-1.4587,154.13,-248.48,61.9
2.4778,-1.4581,147.9,-242.85,61.9
2.4782,-1.4586,148.37,-246.99,61.9
2.4779,-1.4593,154.76,-249.5,61.9
2.4777,-1.4583,148.33,-244.33,61.42
2.4778,-1.4581,145.83,-244.41,61.3
2.4774,-1.4589,152.78,-250.26,61.3
2.4788,-1.4581,141.4,-241.17,61.3
2.4789,-1.4584,142.83,-241.38,61.22
2.4779,-1.4579,142.93,-242.44,61.2
2.4773,-1.4583,148.91,-244.4,61.04
2.4782,-1.4577,141.86,-238.55,61
2.479,-1.4585,144.79,-239.02,60.84
2.4791,-1.4586,145.13,-240.95,60.8
2.478,-1.4593,155.49,-247.95,60.64
2.4765,-1.4593,161.51,-250.81,60.6
